query,encoding_ms,search_ms,augmentation_ms,generation_ms,total_ms
"does human hair stop squirrels",253.501,82.2187,0.073084,7970,8305.8
"what are the benefits of fossil fuels",21.767,11.9099,0.103542,1085.18,1118.97
"what is a apothem",14.7002,0.786125,0.04575,7411.2,7426.73
"average cost for custom canopy",20.1805,0.917959,0.055334,7568.91,7590.07
"what is a hardware in a computer",20.4821,0.692834,0.071625,7922.81,7944.06
"edi logistics definition",20.4746,11.0506,0.08,2365.22,2396.83
"why should recreational marijuana be illegal",19.5881,0.70675,0.054417,7757.64,7777.99
"what class are spiders in",20.7064,11.0559,0.126666,8179.73,8211.62
"where is the amur leopard found",30.9398,1.31462,0.398875,8378.94,8411.6
"how much does it cost to spayed my female rabbit",26.6414,12.5218,0.110917,9151.15,9190.43
